X,Y,OBJECTID,FREGUESIA,MORADA,MORADA_DETALHE,LOCALIZACAO,TIPO_ESTACIONAMENTO,COD_SIG_PROPOSTA,NUM_SUPORTES,ESTADO,COD_SIG_HS,COD_SIG,IDTIPO,SE_ANNO_CAD_DATA,DATA_INSTALACAO,COBERTO,GlobalID
-9.14215264773286,38.7393749417117,153,AVENIDAS NOVAS,R Arco Cego com Av. Visconde de Valmor,"1º lugar de estacionamento longitudinal , em frente à estação GIRA ",Lugar estacionamento automóvel,HOTSPOT,999996,2,CONCLUÍDO,999996,5709,9222,,1970/01/01 00:00:00+00,,f19b4d2f-a5ad-4286-ab6b-20be6498c148
-9.14424207518481,38.7396774904553,154,AVENIDAS NOVAS,Av Elias Garcia 48E,"Último lugar de estacionamento longitudinal junto aos edifícios, antes da passadeira e do cruz. com a Av. Defensores de Chaves",Lugar estacionamento automóvel,HOTSPOT,146280,2,CONCLUÍDO,146280,5710,9222,,1970/01/01 00:00:00+00,,2920792e-82d7-478a-8bb8-fa08a9e0467e
-9.14427216964514,38.7433211013376,155,AREEIRO,Campo Pequeno 36,"Último lugar de estacionamento longitudinal junto aos edifícios, antes do cruz. com  Av. Sacadura Cabral",Lugar estacionamento automóvel,HOTSPOT,83483,2,CONCLUÍDO,83483,5711,9222,,1970/01/01 00:00:00+00,,5f7c740b-5c40-4970-82d5-05214b9ce348
-9.15211478097744,38.736220352402,156,AVENIDAS NOVAS,Av Miguel Bombarda 167,"Último lugar de estacionamento oblíquo junto aos edifícios, antes entr. com R Marquês Sá da Bandeira (após a entrada de garagem)",Lugar estacionamento automóvel,HOTSPOT,79330,2,CONCLUÍDO,79330,5712,9222,,1970/01/01 00:00:00+00,,35d1000f-06c1-449a-8cbb-be6b65eeb5cd
-9.15049419595038,38.7364592622865,157,AVENIDAS NOVAS,Av Miguel Bombarda 123,"1º lugar de estacionamento oblíquo junto aos edifícios, após cruz. com  Av. Conde de Valbom",Lugar estacionamento automóvel,HOTSPOT,79372,2,CONCLUÍDO,79372,5713,9222,,1970/01/01 00:00:00+00,,ae25ce1a-69b7-48a8-b2e2-a4730c668b4e
-9.1533768708325,38.7338644835727,158,AVENIDAS NOVAS,Av António Augusto de Aguiar 130A,Lugar de estacionamento longitudinal junto aos edifícios (frente ao Celeiro) e antes da entrada/saída de garagem,Lugar estacionamento automóvel,HOTSPOT,115440,2,CONCLUÍDO,115440,5714,9222,,1970/01/01 00:00:00+00,,22445ab3-d96d-4118-b310-3cfe2941b076
-9.15268827174303,38.7334925849214,159,AVENIDAS NOVAS,R Carlos Testa 14,"1º lugar de estacionamento longitudinal junto aos edifícios, antes do lugar de Cargas e Descargas",Lugar estacionamento automóvel,HOTSPOT,91199,2,CONCLUÍDO,91199,5715,9222,,1970/01/01 00:00:00+00,,62afacce-35ed-4c0f-bbf3-05f01d45f3af
-9.15210029205022,38.732370356123,160,AVENIDAS NOVAS,Av António Augusto de Aguiar 104,"1º lugar de estacionamento longitudinal junto aos edifícios, após cruz. com R. Augusto dos Santos",Lugar estacionamento automóvel,HOTSPOT,115265,2,CONCLUÍDO,115265,5716,9222,,1970/01/01 00:00:00+00,,36d6977b-66a7-49ba-b95b-a5d7ec6c0df6
-9.15049009064951,38.7322261847198,161,AVENIDAS NOVAS,R Tomás Ribeiro 56,"1º lugar de estacionamento longitudinal junto aos edifícios, após cruz. com Av. Luís Bivar",Lugar estacionamento automóvel,HOTSPOT,105725,2,CONCLUÍDO,105725,5717,9222,,1970/01/01 00:00:00+00,,02b739b9-3b09-44c0-950b-1575034f69bf
-9.13684208984414,38.7370890362386,162,AREEIRO,Av Manuel da Maia,1º lugar de estacionamento transversal (do lado do passeio de acesso à escada de entrada do IST),Lugar estacionamento automóvel,HOTSPOT,78825,2,CONCLUÍDO,78825,5718,9222,,1970/01/01 00:00:00+00,,f4322b09-ee1a-4891-bba2-2039c38a87b2
