,X,Y,OBJECTID,COD_SIG,IDTIPO,MORADA,DESIGNACAO,TIPOLOGIA,SE_ANNO_CAD_DATA,GlobalID,_lat_,_lng_,_type_,_name_
91,-9.12622195772196,38.7506235976817,92,2132,4,Avenida Dr. Arlindo Vicente(antiga Rua 1 da Zona N1 de Chelas),Bebedouro 4 no Parque da Belavista Central,Bebedouro,,96a071f5-9459-4fea-9f5d-7c79b6a171f8,38.7506235976817,-9.12622195772196,BEBEDOURO,Bebedouro 4 no Parque da Belavista Central - Avenida Dr. Arlindo Vicente(antiga Rua 1 da Zona N1 de Chelas)
92,-9.12509456665051,38.7507471791866,93,2133,4,Avenida Dr. Arlindo Vicente(antiga Rua 1 da Zona N1 de Chelas),Bebedouro 5 no Parque da Belavista Central,Bebedouro,,95f762c5-23da-41f6-943f-25353087b814,38.7507471791866,-9.12509456665051,BEBEDOURO,Bebedouro 5 no Parque da Belavista Central - Avenida Dr. Arlindo Vicente(antiga Rua 1 da Zona N1 de Chelas)
93,-9.1264430573679,38.7513357850103,94,2134,4,Avenida Dr. Arlindo Vicente(antiga Rua 1 da Zona N1 de Chelas),Bebedouro 6 no Parque da Belavista Central,Bebedouro,,0d589886-093b-41be-8abd-6157678f72d7,38.7513357850103,-9.1264430573679,BEBEDOURO,Bebedouro 6 no Parque da Belavista Central - Avenida Dr. Arlindo Vicente(antiga Rua 1 da Zona N1 de Chelas)
94,-9.11894352432071,38.7656501275929,95,3371,4,Parque do Vale do Silêncio,Bebedouro 1 no Parque do Vale do Silêncio,Bebedouro,,1a05bb57-bb29-4e09-8d0a-372f66d7b1cf,38.7656501275929,-9.11894352432071,BEBEDOURO,Bebedouro 1 no Parque do Vale do Silêncio - Parque do Vale do Silêncio
95,-9.11799946322907,38.7676222577558,96,3372,4,Parque do Vale do Silêncio,Bebedouro 2 no Parque do Vale do Silêncio,Bebedouro,,03c367e3-9361-4b1a-9a29-cb6bccb0e3e2,38.7676222577558,-9.11799946322907,BEBEDOURO,Bebedouro 2 no Parque do Vale do Silêncio - Parque do Vale do Silêncio
96,-9.18216174199175,38.7387000380745,97,3935,4,Estrada do Barcal,Furo de captação Parque Florestal de Monsanto - SP1,Furo de captação,,89dfe7c9-758e-49e4-b4bd-97211e727af1,0.0,0.0,,
97,-9.10710829591092,38.7445254022666,98,2125,4,Rua Pedro de Azevedo(antiga Rua C e Impasse C1 do Bairro da Prodac),Bebedouro na Quinta das Flores,Bebedouro,,bd4c36fc-da60-42dc-b929-33fdd2f21716,38.7445254022666,-9.10710829591092,BEBEDOURO,Bebedouro na Quinta das Flores - Rua Pedro de Azevedo(antiga Rua C e Impasse C1 do Bairro da Prodac)
98,-9.1054109965552,38.7466091757492,99,2126,4,Azinhaga do Vale Fundão,Bebedouro no Parque Infantil da Quinta das Flores,Bebedouro,,70e18118-0ba7-4c49-8b97-5fcfd5039614,38.7466091757492,-9.1054109965552,BEBEDOURO,Bebedouro no Parque Infantil da Quinta das Flores - Azinhaga do Vale Fundão
99,-9.18596884708161,38.7229590314613,100,243,4,Estrada do Alvito,Bebedouro no Parque de Merendas do Miradouro da Escarpa,Bebedouro,,9b3a09e0-4ac3-4c2b-be80-1b53ed7bbb2a,38.7229590314613,-9.18596884708161,BEBEDOURO,Bebedouro no Parque de Merendas do Miradouro da Escarpa - Estrada do Alvito
100,-9.16993226366503,38.7228679632868,101,1007,4,Avenida Engenheiro Duarte Pacheco,Fonte no Miradouro da Belaflor,Fonte,,2524d4f1-ec64-4452-ae9a-d99835968561,0.0,0.0,,
